commodity,snap_rank,snap_dollars_in_mil,snap_percent_total_exp,non_snap_rank,non_snap_dollars_in_mil,non_snap_percent_total_exp,usda_food_pattern
Turkey offal,203,1.6,0.0002,235,2,0.0001,Protein Foods
Organics fruit & vegetables,204,1.6,0.0002,185,22.2,0.0007,Vegetables
Frozen ethnic,205,1.6,0.0002,218,6.7,0.0002,Other
Lamb,206,1.6,0.0002,207,11.4,0.0004,Protein Foods
Seasonal,207,1.5,0.0002,209,10.3,0.0003,Fruit
Chicken offal,208,1.5,0.0002,230,4.3,0.0001,Protein Foods
Turkey smoked,209,1.5,0.0002,234,2.5,0.0001,Protein Foods
Seafood _ cod,210,1.5,0.0002,206,12,0.0004,Protein Foods
Frozen meat alternatives,211,1.5,0.0002,203,13.6,0.0004,Protein Foods
Soup,212,1.4,0.0002,179,25.4,0.0008,Composite
Authentic central american fds,213,1.4,0.0002,227,5.5,0.0002,Other
Cereal bars,214,1.4,0.0002,183,23.6,0.0007,Grains
Frozen entrees,215,1.4,0.0002,186,21.5,0.0007,Protein Foods
Authentic asian foods,216,1.4,0.0002,208,11.3,0.0004,Other
Bulk food,217,1.3,0.0002,190,18,0.0006,Fruit
Baking,218,1.2,0.0002,201,14.6,0.0005,Solid Fats & Added Sugar
Random weight meat products,219,1.1,0.0002,233,4,0.0001,Protein Foods
Processed (dry mixes / squeezed fruit),220,1,0.0002,222,6.2,0.0002,Other
Mediterranean bar,221,1,0.0002,198,15.5,0.0005,Other
Chicken grinds,222,0.9,0.0001,217,6.9,0.0002,Protein Foods
Chilled ready meals,223,0.9,0.0001,231,4.2,0.0001,Composite
Dry tea/coffee/coco mixes,224,0.9,0.0001,210,9.2,0.0003,Solid Fats & Added Sugar
Crackers,225,0.8,0.0001,200,14.6,0.0005,Grains
Seafood _ trout,226,0.7,0.0001,224,6,0.0002,Protein Foods
Beverages,227,0.7,0.0001,215,7.6,0.0002,Fruit
Seafood _ scallops,228,0.6,0.0001,221,6.4,0.0002,Protein Foods
Baby food,229,0.6,0.0001,226,5.5,0.0002,Other
Deli specialties (retail pk),230,0.6,0.0001,228,5.3,0.0002,Grains
Buffalo,231,0.5,0.0001,213,8.3,0.0003,Protein Foods
Seafood _ smoked seafood,232,0.5,0.0001,212,8.4,0.0003,Protein Foods
Pork grinds,233,0.5,0.0001,229,4.3,0.0001,Protein Foods
Authentic italian foods,234,0.5,0.0001,216,7.4,0.0002,Oils
Bakery party trays,235,0.4,0.0001,236,1.9,0.0001,Composite
Candy,236,0.4,0.0001,220,6.5,0.0002,Solid Fats & Added Sugar
Authentic caribbean foods,237,0.4,0.0001,238,1.1,0,Other
Seafood _ shellfish other,238,0.4,0.0001,237,1.3,0,Protein Foods
